SampleID,Site,Room #,Date,Entry,SamplerStart,SamplerEnd,SamplerNumber,Location,CollectionMethod,Notes,N,ORF1ab,S,MS2,Result,Ct,isobuild,isonwing,isoswing,quarbuild,quarnwing,quarswing,isostack49,quarstack49,buildingcensus,stacktotal,Day,segment
700,Barnhart,Lobby,1/24/2021,NA,845,1130,9,TF,PUF,NA,22.2,No Amp,17.9,20.8,Positive (2/3),26.7,0,,,1,1,,,,1,0,0,posrec
3570,Barnhart,Lobby,2/7/2021,3,1505,1704,3,TF,PUF,NA,26,23.7,No Amp,26.6,Positive (2/3),29.9,47,32,15,40,26,14,1,,87,1,1,aftertrac
3574,Barnhart,Lobby,2/7/2021,4,1706,1904,3,TF,PUF,NA,29.4,No Amp,No Amp,27.9,Negative,36.5,47,32,15,40,26,14,1,,87,1,1,aftertrac
6066,Barnhart,Lobby,3/20/2021,97,1105,1110,3,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,NA,NA,NA,NA,NA,NA,0,0,,3,,3,,,3,0,42,overnight
3529,Barnhart,Lobby,2/7/2021,2,1255,1505,3,TF,PUF,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,47,32,15,40,26,14,1,,87,1,1,tracerec
3530,Barnhart,Lobby,2/7/2021,2,NA,1505,3,Next to TFS,Settling Plate,NA,NA,NA,NA,NA,NA,NA,47,32,15,40,26,14,1,,87,1,1,
3531,Barnhart,Lobby,2/7/2021,2,NA,1505,3,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,47,32,15,40,26,14,1,,87,1,1,
3532,Barnhart,Lobby,2/7/2021,2,NA,1505,3,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,47,32,15,40,26,14,1,,87,1,1,
3571,Barnhart,Lobby,2/7/2021,3,NA,1704,3,Next to TFS,Settling Plate,NA,26.5,No Amp,No Amp,No Amp,Negative,35.5,47,32,15,40,26,14,1,,87,1,1,
3572,Barnhart,Lobby,2/7/2021,3,NA,1704,3,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,47,32,15,40,26,14,1,,87,1,1,
3573,Barnhart,Lobby,2/7/2021,3,NA,1704,3,Door West,Settling Plate,NA,25.7,No Amp,No Amp,No Amp,Negative,35.2,47,32,15,40,26,14,1,,87,1,1,
3575,Barnhart,Lobby,2/7/2021,4,NA,1904,3,Next to TFS,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,47,32,15,40,26,14,1,,87,1,1,
3576,Barnhart,Lobby,2/7/2021,4,NA,1904,3,Door South,Settling Plate,NA,26.2,No Amp,No Amp,No Amp,Negative,35.4,47,32,15,40,26,14,1,,87,1,1,
3577,Barnhart,Lobby,2/7/2021,4,NA,1904,3,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,47,32,15,40,26,14,1,,87,1,1,
3742,Barnhart,Lobby,2/8/2021,8,1506,1701,3,TF,PUF,NA,29.6,No Amp,No Amp,28.3,Negative,36.5,52,36,16,41,26,15,1,,93,1,2,aftertrac
3784,Barnhart,Lobby,2/8/2021,9,1705,2121,3,TF,PUF,NA,No Amp,No Amp,No Amp,28.5,Negative,40,52,36,16,41,26,15,1,,93,1,2,aftertrac
3660,Barnhart,Lobby,2/8/2021,7,1100,1308,3,TF,PUF,NA,29.7,No Amp,No Amp,28.8,Negative,36.6,52,36,16,41,26,15,1,,93,1,2,between
