,SampleID,Site,Room.Type,Start.Date,SamplerStart,CollectionDate,SamplerEnd,Entry,SamplerNumber,Cartridge,Location,CollectionMethod,Notes,Flushed.Toilets,occupiedrooms,stack.n,wing.n,building.n,s.wing.n,source.rooms,Runtime,N,ORF1ab,S,MS2,Result,ct,X,X.1,LogCopiesPerL,lab,DayCount,floor,Day
1,E1,Barnhart,Roof,3/22/2021,1230,3/23/2021,1120,1,11,NA,Exhaust #26,PUF,NA,NA,NA,0,2,2,0,"202, 302, 402, 502, 602, 702",NA,31.7,No Amp,26.7,30.6,Positive (2/3),32.8,NA,,,uo,1,,43
2,E10,Barnhart,Port,NA,NA,3/23/2021,1129,1,7,NA,Port #34,Swab,NA,NA,NA,0,2,2,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,30.9,No Amp,No Amp,27.9,Negative,37,NA,,,uo,1,,43
3,E11,Barnhart,Roof,3/22/2021,1240,3/23/2021,1131,1,6,E,Exhaust #37,PUF,NA,NA,NA,0,2,2,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,31.4,No Amp,30.9,26.9,Positive (2/3),34.1,NA,,,uo,1,,43
4,E12,Barnhart,Port,NA,NA,3/23/2021,1131,1,6,NA,Port #37,Swab,NA,NA,NA,0,2,2,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,30.8,No Amp,No Amp,27.8,Negative,36.9,NA,,,uo,1,,43
5,E13,Barnhart,Roof,3/22/2021,1242,3/23/2021,1133,1,5,I,Exhaust #33,PUF,NA,NA,NA,0,2,2,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,30.5,No Amp,25.9,29.8,Positive (2/3),32.1,NA,,,uo,1,,43
6,E14,Barnhart,Port,NA,NA,3/23/2021,1133,1,5,NA,Port #33,Swab,NA,NA,NA,0,2,2,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,31.9,No Amp,No Amp,30.9,Negative,37.3,NA,,,uo,1,,43
7,E15,Barnhart,Roof,3/22/2021,1244,3/23/2021,1136,1,4,G,Exhaust #32,PUF,NA,NA,NA,0,2,2,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,30,No Amp,24.6,29.2,Positive (2/3),31.5,NA,,,uo,1,,43
8,E16,Barnhart,Port,NA,NA,3/23/2021,1136,1,4,NA,Port #32,Swab,NA,NA,NA,0,2,2,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,32.1,No Amp,30.6,28.6,Positive (2/3),34.2,NA,,,uo,1,,43
9,E17,Barnhart,Roof,3/22/2021,1246,3/23/2021,1138,1,3,C,Exhaust #29,PUF,suspected cases,NA,"105, 107",2,2,2,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,31,32.4,26.7,27.5,Positive (3/3),30,NA,,,uo,1,,43
10,E18,Barnhart,Port,NA,NA,3/23/2021,1138,1,3,NA,Port #29,Swab,suspected cases,NA,"105, 107",2,2,2,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,30.9,33.7,30.6,28,Positive (3/3),31.7,NA,,,uo,1,,43
