"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"1",1,"E1","Barnhart","Roof","3/22/2021",1230,2021-03-23,1120,1,11,NA,"Exhaust #26","PUF",NA,NA,NA,0,2,2,0,"202, 302, 402, 502, 602, 702",NA,"31.7","No Amp","26.7","30.6","Positive (2/3)",32.8,NA,NA,NA,"uo","Positive"
"2",2,"E10","Barnhart","Port",NA,NA,2021-03-23,1129,1,7,NA,"Port #34","Swab",NA,NA,NA,0,2,2,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"30.9","No Amp","No Amp","27.9","Negative",37,NA,NA,NA,"uo","Negative"
"3",100,"E100","Barnhart","Indoors",NA,NA,2021-03-27,1002,2,NA,NA,"Positive Floor Elevator Common Buttons","Swab",NA,NA,NA,NA,1,1,0,NA,NA,"31","No Amp","No Amp","25.3","Negative",37,NA,NA,NA,"uo","Negative"
"4",101,"E101","Barnhart","Indoors",NA,NA,2021-03-27,1002,2,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,1,1,0,NA,NA,"29","No Amp","30","28.1","Positive (2/3)",33,NA,NA,NA,"uo","Positive"
"5",102,"E102","Barnhart","Indoors",NA,NA,2021-03-27,1002,2,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,1,1,0,NA,NA,"30.8","30.9","30.3","29","Positive (3/3)",30.7,NA,NA,NA,"uo","Positive"
"6",103,"E103","Barnhart","Indoors",NA,NA,2021-03-27,1002,2,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,1,1,0,NA,NA,"31","31.1","29.7","25.5","Positive (3/3)",30.6,NA,NA,NA,"uo","Positive"
"7",108,"E108","Barnhart","Port",NA,NA,2021-03-27,1020,5,11,NA,"Port #26","Swab",NA,NA,"202",1,1,1,0,"202, 302, 402, 502, 602, 702",NA,"30.6","30.7","25.8","25.9","Positive (3/3)",29,NA,NA,NA,"uo","Positive"
"8",109,"E109","Barnhart","Roof","3/26/2021",1038,2021-03-27,1020,5,11,NA,"Exhaust #26","PUF",NA,NA,"202",1,1,1,0,"202, 302, 402, 502, 602, 702",NA,"21.4","18.9","17.2","23.8","Positive (3/3)",19.1,NA,NA,NA,"uo","Positive"
"9",3,"E11","Barnhart","Roof","3/22/2021",1240,2021-03-23,1131,1,6,"E","Exhaust #37","PUF",NA,NA,NA,0,2,2,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"31.4","No Amp","30.9","26.9","Positive (2/3)",34.1,NA,NA,NA,"uo","Positive"
"10",111,"E111","Barnhart","Roof","3/26/2021",1040,2021-03-27,1022,5,10,NA,"Exhaust #27","PUF",NA,NA,NA,0,1,1,0,"101, 106, 204, 304, 404, 504, 604, 704",NA,"29.4","No Amp","22.7","32.5","Positive (2/3)",30.7,NA,NA,NA,"uo","Positive"
"11",112,"E112","Barnhart","Port",NA,NA,2021-03-27,1024,5,9,NA,"Port #30","Swab",NA,NA,NA,0,1,1,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"33.3","No Amp","No Amp","33.3","Negative",37.8,NA,NA,NA,"uo","Negative"
"12",113,"E113","Barnhart","Roof","3/26/2021",1042,2021-03-27,1024,5,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,1,1,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"31","No Amp","No Amp","26.7","Negative",37,NA,NA,NA,"uo","Negative"
"13",114,"E114","Barnhart","Port",NA,NA,2021-03-27,1026,5,8,NA,"Port #31","Swab",NA,NA,NA,0,1,1,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"30.7","No Amp","28.7","25.7","Positive (2/3)",33.1,NA,NA,NA,"uo","Positive"
"14",115,"E115","Barnhart","Roof","3/26/2021",1044,2021-03-27,1026,5,8,"F","Exhaust #31","PUF",NA,NA,NA,0,1,1,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"30.1","No Amp","28.7","26.3","Positive (2/3)",32.9,NA,NA,NA,"uo","Positive"
"15",116,"E116","Barnhart","Port",NA,NA,2021-03-27,1028,5,7,NA,"Port #34","Swab",NA,NA,NA,0,1,1,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.4","No Amp","No Amp","28","Negative",37.1,NA,NA,NA,"uo","Negative"
"16",117,"E117","Barnhart","Roof","3/26/2021",1046,2021-03-27,1028,5,7,"K","Exhaust #34","PUF",NA,NA,NA,0,1,1,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.9","No Amp","No Amp","27.3","Negative",37.3,NA,NA,NA,"uo","Negative"
"17",119,"E119","Barnhart","Roof","3/26/2021",1048,2021-03-27,1030,5,6,"E","Exhaust #37","PUF",NA,NA,NA,0,1,1,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"33","31.9","30.1","26.3","Positive (3/3)",31.6,NA,NA,NA,"uo","Positive"
"18",4,"E12","Barnhart","Port",NA,NA,2021-03-23,1131,1,6,NA,"Port #37","Swab",NA,NA,NA,0,2,2,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"30.8","No Amp","No Amp","27.8","Negative",36.9,NA,NA,NA,"uo","Negative"
"19",123,"E123","Barnhart","Roof","3/26/2021",1052,2021-03-27,1034,5,4,"G","Exhaust #32","PUF",NA,NA,NA,0,1,1,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.6","No Amp","No Amp","29.6","Negative",37.2,NA,NA,NA,"uo","Negative"
"20",124,"E124","Barnhart","Port",NA,NA,2021-03-27,1036,5,3,NA,"Port #29","Swab",NA,NA,"107",1,1,1,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"30.3","No Amp","30.7","25.7","Positive (2/3)",33.7,NA,NA,NA,"uo","Positive"
"21",125,"E125","Barnhart","Roof","3/26/2021",1054,2021-03-27,1036,5,3,"C","Exhaust #29","PUF",NA,NA,"107",1,1,1,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"32","No Amp","No Amp","33","Negative",37.3,NA,NA,NA,"uo","Negative"
"22",126,"E126","Barnhart","Roof","3/26/2021",1102,2021-03-27,1048,5,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,1,1,0,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"28.1","23.5","No Amp","24.5","Positive (2/3)",30.5,NA,NA,NA,"uo","Positive"
"23",127,"E127","Barnhart","Port",NA,NA,2021-03-27,1040,5,1,NA,"Port #40","Swab",NA,NA,NA,0,1,1,0,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"30.5","31.3","31.4","25.6","Positive (3/3)",31,NA,NA,NA,"uo","Positive"
"24",128,"E128","Barnhart","Roof","3/26/2021",1056,2021-03-27,1040,5,1,NA,"Exhaust #40","PUF",NA,NA,NA,0,1,1,0,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"33.3","No Amp","No Amp","30.3","Negative",37.8,NA,NA,NA,"uo","Negative"
"25",5,"E13","Barnhart","Roof","3/22/2021",1242,2021-03-23,1133,1,5,"I","Exhaust #33","PUF",NA,NA,NA,0,2,2,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"30.5","No Amp","25.9","29.8","Positive (2/3)",32.1,NA,NA,NA,"uo","Positive"
"26",135,"E130","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"31.5","32.1","No Amp","29.3","Positive (2/3)",34.5,NA,NA,NA,"uo","Positive"
"27",136,"E131","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"31.8","No Amp","No Amp","29.1","Negative",37.3,NA,NA,NA,"uo","Negative"
"28",137,"E132","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"26.1","No Amp","21","21.5","Positive (2/3)",29,NA,NA,NA,"uo","Positive"
"29",138,"E133","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"Positive Floor Elevator Common Buttons","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"29.9","32.5","31.4","27","Positive (3/3)",31.2,NA,NA,NA,"uo","Positive"
"30",139,"E134","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"27.2","No Amp","No Amp","27.8","Negative",35.7,NA,NA,NA,"uo","Negative"
"31",140,"E135","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"26","19","19.1","29.2","Positive (3/3)",21.4,NA,NA,NA,"uo","Positive"
"32",141,"E136","Barnhart","Indoors",NA,NA,2021-03-28,945,3,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,2,2,0,NA,NA,"29.8","30.7","No Amp","28.8","Positive (2/3)",33.5,NA,NA,NA,"uo","Positive"
"33",6,"E14","Barnhart","Port",NA,NA,2021-03-23,1133,1,5,NA,"Port #33","Swab",NA,NA,NA,0,2,2,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"31.9","No Amp","No Amp","30.9","Negative",37.3,NA,NA,NA,"uo","Negative"
"34",146,"E141","Barnhart","Port",NA,NA,2021-03-28,1010,6,11,NA,"Port #26","Swab",NA,NA,"202",1,2,2,0,"202, 302, 402, 502, 602, 702",NA,"31.8","No Amp","No Amp","25.8","Negative",37.3,NA,NA,NA,"uo","Negative"
"35",147,"E142","Barnhart","Roof","3/27/2021",1020,2021-03-28,1010,6,11,NA,"Exhaust #26","PUF",NA,NA,"202",1,2,2,0,"202, 302, 402, 502, 602, 702",NA,"30.1","30.3","23.7","No Amp","Positive (3/3)",28.1,NA,NA,NA,"uo","Positive"
"36",148,"E143","Barnhart","Port",NA,NA,2021-03-28,1012,6,10,NA,"Port #27","Swab",NA,NA,NA,0,2,2,0,"101, 106, 204, 304, 404, 504, 604, 704",NA,"30.6","No Amp","25.9","29.4","Positive (2/3)",32.2,NA,NA,NA,"uo","Positive"
"37",149,"E144","Barnhart","Roof","3/27/2021",1022,2021-03-28,1012,6,10,NA,"Exhaust #27","PUF",NA,NA,NA,0,2,2,0,"101, 106, 204, 304, 404, 504, 604, 704",NA,"29.4","29.1","24.8","31.2","Positive (3/3)",27.8,NA,NA,NA,"uo","Positive"
"38",150,"E145","Barnhart","Port",NA,NA,2021-03-28,1014,6,9,NA,"Port #30","Swab",NA,NA,NA,0,2,2,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"32.1","No Amp","24.9","29.9","Positive (2/3)",32.3,NA,NA,NA,"uo","Positive"
"39",151,"E146","Barnhart","Roof","3/27/2021",1024,2021-03-28,1014,6,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,2,2,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"30.7","30.9","32.2","25.7","Positive (3/3)",31.3,NA,NA,NA,"uo","Positive"
"40",152,"E147","Barnhart","Port",NA,NA,2021-03-28,1016,6,8,NA,"Port #31","Swab",NA,NA,NA,0,2,2,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.2","No Amp","No Amp","26.7","Negative",37.4,NA,NA,NA,"uo","Negative"
